"id"	"sex"	"beep"	"pa1"	"pa2"	"pa3"	"na1"	"na2"	"na3"	"na4"
80	"female"	29	3	6	4	2	1	1	1
80	"female"	31	4	6	3	4	1	1	2
80	"female"	32	5	6	5	3	2	1	1
80	"female"	34	4	7	4	4	1	1	1
80	"female"	36	2	5	3	5	2	1	1
80	"female"	37	3	6	2	5	1	1	1
80	"female"	39	3	6	4	4	2	2	2
80	"female"	40	3	6	3	4	3	3	1
81	"female"	1	3	4	3	2	2	2	2
81	"female"	2	4	5	3	2	1	2	2
81	"female"	3	5	5	4	3	1	3	3
81	"female"	4	6	6	4	2	1	3	1
81	"female"	6	5	5	3	2	1	3	4
81	"female"	8	7	7	5	2	1	2	2
81	"female"	10	4	4	4	1	1	3	3
81	"female"	11	4	6	3	3	1	3	3
81	"female"	13	6	7	5	1	1	1	2
81	"female"	14	5	6	3	2	1	2	2
81	"female"	15	5	6	4	3	2	3	3
81	"female"	16	4	5	3	3	3	4	4
81	"female"	19	4	5	4	3	3	3	4
81	"female"	20	5	5	3	3	2	3	5
81	"female"	22	4	5	3	4	2	3	5
81	"female"	23	3	5	3	3	2	4	3
81	"female"	24	5	7	4	1	1	2	2
81	"female"	25	6	5	4	3	2	3	3
81	"female"	26	4	5	4	3	1	3	3
81	"female"	27	4	4	3	3	3	4	4
81	"female"	28	6	6	5	2	1	4	3
81	"female"	29	5	6	4	2	1	2	1
81	"female"	30	5	5	3	1	1	3	3
81	"female"	32	5	5	4	4	3	5	3
81	"female"	33	2	5	3	3	2	4	3
81	"female"	34	6	6	4	1	1	1	1
81	"female"	35	6	5	4	1	2	4	4
81	"female"	36	5	4	3	3	1	3	3
81	"female"	37	4	5	3	3	1	2	4
81	"female"	38	6	6	4	2	1	4	2
81	"female"	40	7	6	4	1	1	1	3
82	"female"	2	7	4	5	3	2	2	1
82	"female"	4	6	6	6	3	2	2	1
82	"female"	5	5	2	4	4	1	3	1
82	"female"	6	5	4	4	4	2	3	1
82	"female"	7	4	3	4	4	2	3	2
82	"female"	8	7	5	4	4	4	2	1
82	"female"	9	6	5	5	4	2	3	1
82	"female"	10	7	5	7	2	1	1	1
82	"female"	11	6	3	4	4	4	2	1
82	"female"	12	5	4	4	3	3	3	1
82	"female"	15	7	4	4	3	2	1	1
82	"female"	16	6	6	5	3	4	2	1
82	"female"	17	5	4	4	4	4	4	1
82	"female"	18	7	5	4	3	3	1	1
82	"female"	21	7	5	5	4	4	2	1
82	"female"	22	6	5	5	4	5	3	1
82	"female"	23	6	4	4	5	4	4	1
